Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
politie,2 ongeval wegvervoer materieel groene kruisweg rotterdam icnum 1092,Politie naar Groene Kruisweg in Rotterdam voor Ongeval Wegvervoer Materieel,2024-01-01,02:44:56
politie,prio 1 ranonkeldreef rijszh schietpartij,Geen beschrijving beschikbaar,2024-01-01,02:41:44
politie,aanrijding letsel buiteneindweg sint geertruid,Geen beschrijving beschikbaar,2024-01-01,02:34:42
politie,prio 1 herman schoenen b.v. hobbemaplein sgravh ongeval wegvervoer letsel,Ongeval met letsel op Hobbemaplein in Den Haag,2024-01-01,02:29:48
politie,",4 radio kootwijk 1123",Geen beschrijving beschikbaar,2024-01-01,02:28:24
politie,"aanrijding letsel a1 re 73,4 radio kootwijk 1123",Geen beschrijving beschikbaar,2024-01-01,02:28:23
politie,aanrijding letsel a1 re 73,Politie naar A1 voor ongeval met letsel,2024-01-01,02:28:23
politie,2 ongeval wegvervoer materieel van lennepstraat rotterdam icnum 1019,Geen beschrijving beschikbaar,2024-01-01,02:26:16
politie,ongeval/wegvervoer/letsel prio 1 groningen lichtboei,Geen beschrijving beschikbaar,2024-01-01,02:04:22
politie,graag contact oc apeldoorn gms: 759,Politie naar Apeldoorn,2024-01-01,02:03:08
politie,aanrijding letsel molenweg linne,Politie naar Molenweg in Linne voor ongeval met letsel,2024-01-01,01:57:05
politie,bel oc 234,Geen beschrijving beschikbaar,2024-01-01,01:54:48
politie,1 ongeval wegvervoer letsel breeplein rotterdam icnum 788,Geen beschrijving beschikbaar,2024-01-01,01:43:05
politie,steekincident speelmanstraat doetinchem 759,Geen beschrijving beschikbaar,2024-01-01,01:40:11
politie,graag bellen met zcc twente,Politie,2024-01-01,01:38:12
politie,1 ongeval wegvervoer letsel goudsesingel rotterdam icnum 760,Geen beschrijving beschikbaar,2024-01-01,01:38:00
politie,bel oc 234,Politie,2024-01-01,01:37:33
politie,graag contact oc on 624,Geen beschrijving beschikbaar,2024-01-01,01:34:45
politie,fo voor rt5091,Geen beschrijving beschikbaar,2024-01-01,01:34:12
trauma,a1 13901 13122 kinkerstraat 1053 amsterdam 77 78,Geen beschrijving beschikbaar,2024-01-01,02:44:07
trauma,a1 ambu 08993 07801 08122 prins hendrikstraat andelst rit 197 198 mka glm,Geen beschrijving beschikbaar,2024-01-01,02:27:39
trauma,"a1 mmt, aed 13991 van baerlestraat 1071 amsterdam 61",Geen beschrijving beschikbaar,2024-01-01,02:11:09
trauma,graag contact mka rdam,Geen beschrijving beschikbaar,2024-01-01,02:06:11
trauma,a1 ambu 17902 raesveltbn maasland maasld bon 97,Traumaheli naar Raesvelt in Maasland,2024-01-01,02:01:39
trauma,a1 ambu 08993 hv weg letsel linne molenweg/julianastraat rit 162,Geen beschrijving beschikbaar,2024-01-01,01:59:50
trauma,a1 dia: ja ambu 17902 breeplein rotterdam rottdm bon 79,Geen beschrijving beschikbaar,2024-01-01,01:44:35
trauma,a1 dia: ja ambu 17992 breeplein rotterdam rottdm bon 79,Geen beschrijving beschikbaar,2024-01-01,01:43:37
trauma,a1 dia 13991 hillegommerdijk 2165 lisserbroek 48,Geen beschrijving beschikbaar,2024-01-01,01:42:43
trauma,"a1 ambu 08993 hv weg letsel geleen a2 li 243,2 rit",Traumaheli naar A2 in Geleen voor ongeval met letsel,2024-01-01,01:36:29
trauma,135,Geen beschrijving beschikbaar,2024-01-01,01:36:29
brandweer,p 2 bdh-103 br container verhagen metmanstraat rijswijk zh 159636,Geen beschrijving beschikbaar,2024-01-01,03:23:54
brandweer,p 3 melding in app dv brw brandweerkazerne vleuten gouden koetslaan vleuten 094731,Geen beschrijving beschikbaar,2024-01-01,03:23:44
brandweer,"p 1 br woning rietendak, dak eursinge eursinge de wolden",Geen beschrijving beschikbaar,2024-01-01,03:23:40
brandweer,p 2 br afval lage herenweg marrum 025332,Geen beschrijving beschikbaar,2024-01-01,03:23:35
brandweer,p 1 br woning dak eursinge eursinge de wolden 038950 039065 038993 039041,Woningbrand op Eursinge in Eursinge,2024-01-01,03:23:31
brandweer,p 1 ass. ambu inzet med. ass. wilhelminalaan reusel 224081,Geen beschrijving beschikbaar,2024-01-01,03:23:20
brandweer,p 2 bon-108 br container ringlaan wijchen 083331,Geen beschrijving beschikbaar,2024-01-01,03:23:01
brandweer,"prio 4 a4 re 37,7 leiddm eigen initiatief",Brandweer naar A4 in Leidschendam,2024-01-01,03:22:59
brandweer,p 1 bdh-20 br wegvervoer auto zaalbergweg leiden 164230,Geen beschrijving beschikbaar,2024-01-01,03:22:44
brandweer,p 2 bdh-10 br buiten raadhuisstraat noordwijk zh 161830,Buitenbrand op Raadhuisstraat in Noordwijk,2024-01-01,03:22:29
brandweer,p 1 bdh-104 ass. ambu afhijsen bizetstraat delft 155550 159634,Assistentie ambulance voor afhijsen patiënt op Bizetstraat in Delft,2024-01-01,03:22:12
brandweer,p 2 bon-107 br container willem pijperlaan dieren 075141,Buitenbrand (container) op Willem Pijperlaan in Dieren,2024-01-01,03:21:43
brandweer,graag voor 4 personen arbeidshygiene,Brandweer,2024-01-01,03:21:18
brandweer,p 2 bnh-21 br buiten ovd-b speksnijdersweg landsmeer 110292,Buitenbrand op Speksnijdersweg in Landsmeer,2024-01-01,03:20:10
brandweer,p 1 bnh-01 br buiten speksnijdersweg landsmeer 113031,Buitenbrand op Speksnijdersweg in Landsmeer,2024-01-01,03:20:10
brandweer,p 2 br afval vaart gasselternijveen 038432,Afvalbrand op Vaart in Gasselternijveen,2024-01-01,03:19:46
brandweer,p 2 brt-07 br afval don antoniostraat gorinchem 188132,Afvalbrand op Don Antoniostraat in Gorinchem,2024-01-01,03:18:53
brandweer,intrekken alarm brw br woning delft assen,Woningbrand op Delft in Assen,2024-01-01,03:18:29
brandweer,p 1 br woning delft assen 038265 038293 038231,Woningbrand op Delft in Assen,2024-01-01,03:18:29
brandweer,contact mkb brt-03 br wegvervoer ovd-bz scooter nieuwe maasstraat schiedam,Brandweer naar Nieuwe Maasstraat in Schiedam voor Voertuigbrand,2024-01-01,03:18:10
brandweer,p 1 brt-03 br wegvervoer scooter nieuwe maasstraat schiedam 170431,Voertuigbrand op Nieuwe Maasstraat in Schiedam,2024-01-01,03:18:10
brandweer,4331 opkomen kazerne. inmelden kanaal 477 niet statussen,Brandweer,2024-01-01,03:16:50
brandweer,p 1 bad-02 br wegvervoer auto groetstraat amsterdam 139232,Geen beschrijving beschikbaar,2024-01-01,03:16:37
brandweer,p 1 br container industrieweg tynaarlo 038131,Buitenbrand (container) op Industrieweg in Tynaarlo,2024-01-01,03:16:37
brandweer,p 2 bdh-17 br afval rotterdamseweg koningin wilhelminaweg gouda 163130,Afvalbrand op Koningin Wilhelminaweg in Gouda,2024-01-01,03:16:22
brandweer,p 1 bzb-01 br woning schout de roijstraat tilburg 209452,Woningbrand op Schout de Roijstraat in Tilburg,2024-01-01,03:16:12
brandweer,p 1 bzb-03 br container kriekenstraat teteringen 203134,Buitenbrand (container) op Kriekenstraat in Teteringen,2024-01-01,03:16:03
brandweer,p 2 nacontrole meester bleekerlaan lageland 012231,Nacontrole op Meester Bleekerlaan in Lageland,2024-01-01,03:15:59
brandweer,p 2 kaz-586 br afval emile van loonpark roosendaal 201331,Afvalbrand in Roosendaal,2024-01-01,03:15:56
brandweer,p 2 bdh-104 br container pottenbakkerstraat delfgauw 155430,Geen beschrijving beschikbaar,2024-01-01,03:15:18
brandweer,p 2 bon-105 br berm-/bosschage w.c. schoutenstraat enschede 054331,Geen beschrijving beschikbaar,2024-01-01,03:15:16
brandweer,p 2 bon-02 br wegvervoer auto bernhardstraat haaften 086631,Geen beschrijving beschikbaar,2024-01-01,03:15:06
brandweer,p 1 brt-11 stank/hind. lucht gaslucht boerschaplaan rotterdam 179232 179193,Gaslucht op Boerschaplaan in Rotterdam,2024-01-01,03:15:06
brandweer,sms/app sbb mirg,Brandweer,2024-01-01,03:15:03
brandweer,p 1 middel br br wegvervoer auto torenvalk bunschoten-spakenburg 090152,Voertuigbrand op Torenvalk in Bunschoten-Spakenburg,2024-01-01,03:15:02
brandweer,p 2 bdh-07 br container trompstraat leiden 164130,Buitenbrand (container) op Trompstraat in Leiden,2024-01-01,03:15:02
brandweer,p 1 br wegvervoer auto torenvalk bunschoten-spakenburg 090431,Voertuigbrand op Torenvalk in Bunschoten-Spakenburg,2024-01-01,03:15:02
brandweer,p 2 bdh-19 br afval dirk meerkreuk oude wetering 162031,Geen beschrijving beschikbaar,2024-01-01,03:14:46
brandweer,contact mkb!! brt-06 br container ovd-b lindtsebenedendijk kloosstraat zwijndrecht 189492,Brandweer naar Lindtsebenedendijk in Zwijndrecht voor buitenbrand (container),2024-01-01,03:14:35
brandweer,p 1 brt-06 br container lindtsebenedendijk kloosstraat zwijndrecht 186361,Buitenbrand (container) op Lindtsebenedendijk in Zwijndrecht,2024-01-01,03:14:35
brandweer,p 1 brt-10 br wegvervoer auto nijhofflaan dordrecht 186632,Voertuigbrand op Nijhofflaan in Dordrecht,2024-01-01,03:14:20
brandweer,p 1 brt-09 br wegvervoer scooter burgemeester van haarenlaan schiedam 179233,Voertuigbrand op Burgemeester Van Haarenlaan in Schiedam,2024-01-01,03:14:05
brandweer,p 2 bdh-103 br container ondergronds zetveld nootdorp 155630,Buitenbrand (container) op Zetveld in Nootdorp,2024-01-01,03:13:55
brandweer,p 1 bon-01 br wegvervoer auto brandweer almelo brugstraat almelo 053631,Voertuigbrand op Brugstraat in Almelo,2024-01-01,03:13:44
brandweer,p 1 brandgerucht zeedijk amsterdam 133131,Brandgerucht op Zeedijk in Amsterdam,2024-01-01,03:12:59
brandweer,p 2 br container ondergronds gruttoplein diemen 134231,Buitenbrand (container) op Gruttoplein in Diemen,2024-01-01,03:12:05
brandweer,p 1 brt-01 br wegvervoer td ovd-bz auto reigerlaan vlaardingen 179291,Voertuigbrand op Reigerlaan in Vlaardingen,2024-01-01,03:11:25
brandweer,p 1 brt-01 br wegvervoer auto reigerlaan vlaardingen 179231,Voertuigbrand op Reigerlaan in Vlaardingen,2024-01-01,03:11:25
brandweer,p 1 bzb-01 br woning schout de roijstraat tilburg 209433,Geen beschrijving beschikbaar,2024-01-01,03:11:24
brandweer,p 2 ass. ambu tilassistentie de slaiten zuidlaren 038133,Assistentie ambulance op de Slaiten in Zuidlaren,2024-01-01,03:11:24
politie,ongeval wegvervoer letsel zwaan stationsstraatap geldrop,Politie naar Stationsstraat in Geldrop voor ongeval met letsel,2024-01-01,03:23:50
politie,1 ongeval wegvervoer materieel ankie verbeek-ohrlaan rotterdam icnum 1264,Politie naar Rotterdam voor Ongeval Wegvervoer Materieel,2024-01-01,03:18:50
politie,aanrijding letsel plantagekerk ter pelkwijkstraat zwolle 1412,Politie naar Ter Pelkwijkstraat in Zwolle voor ongeval met letsel,2024-01-01,03:17:22
politie,aanrijding letsel spoorweglaan maastricht,Politie naar Spoorweglaan in Maastricht voor ongeval met letsel,2024-01-01,03:12:46
politie,steekpartij van noremborghstraatne 's-hertogenbosch,Politie naar van Noremborghstraat in Den Bosch voor steekpartij,2024-01-01,03:11:43
politie,gaarde contact oc,Politie,2024-01-01,03:02:29
