Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
knrm,"prio 1, hond in problemen, hvh",KNRM met spoed,2018-08-19,17:35:25
knrm,"prio 2, vaartuig aan de grond, lem1",KNRM met gepaste spoed voor vaartuig aan de grond,2018-08-19,16:43:08
knrm,"alarm ingetrokken, har1",KNRM met spoed  (station harlingen),2018-08-19,16:32:03
knrm,"prio 2, vaartuig motor problemen, har1","Vaartuig met motorproblemen in Harderwijk, knrm met gepaste spoed voor (station harlingen) ter plaatse",2018-08-19,16:24:09
knrm,"prio 1, vaartuig motor / stuur problemen, urk1",KNRM met spoed voor vaartuig in problemen,2018-08-19,16:20:46
knrm,"prio 1, vaartuig motor problemen, doebi",KNRM met spoed voor vaartuig met motorproblemen,2018-08-19,16:08:54
knrm,"prio 1, vaartuig omgeslagen, oudbi",KNRM met spoed,2018-08-19,15:41:52
knrm,"alarm ingetrokken, oudbu",KNRM met spoed,2018-08-19,14:31:07
knrm,p 2 ass. ambu strandpaal ptn petten 10gg07 ptn120,KNRM met gepaste spoed naar  Petten,2018-08-19,14:24:40
trauma,a2 ambu 17992 standertmolenstraat graauw graauw bon 152852,Traumaheli,2023-10-31,16:50:03
trauma,a1 ambu 08993 hv weg letsel waalre gestelsestraat,Traumaheli naar Gestelsestraat in Waalre voor ongeval met letsel,2023-10-31,16:08:46
trauma,a1 13991 kustweg delfzijl 97887 mka 1-3,Traumaheli naar Kustweg in Delfzijl,2023-10-31,15:58:27
trauma,a1 dia: ja ambu 17992 koningin julianastraat 4481aw kloetinge kloetg bon 152818,Traumaheli naar 4481AW,2023-10-31,15:45:39
trauma,"graag contact mka, bolsward",Traumaheli naar Bolsward voor contact met de meldkamer opnemen,2023-10-31,15:42:33
trauma,a1 aed 13991 frambozenstraat amsterdam 97876,Traumaheli naar Frambozenstraat in Amsterdam,2023-10-31,15:24:46
trauma,a1 dia: ja ambu 17992 professor de snoolaanbb geervliet geervl bon 152788,Traumaheli naar Professor de Snoolaan in Geervliet,2023-10-31,14:59:09
trauma,a1 dia: ja ambu 17992 schrijnwerkersgaardetr 's-gravenhage sgravh bon 152763,Traumaheli naar Schrijnwerkersgaarde in Den Haag,2023-10-31,14:30:17
trauma,a1 ambu 08993 - eindhoven huizingalaan rit 284266,Traumaheli naar Huizingalaan in Eindhoven,2023-10-31,14:27:53
trauma,a1 dia 13991 ruige muts volendam 97827/regio 11,Traumaheli naar Ruige Muts in Volendam,2023-10-31,13:47:56
trauma,"a1 ambu 08993 brand, helmond rit 284224",Traumaheli naar Brand in Helmond,2023-10-31,13:38:40
trauma,a1 ambu 08993 dia apeldoorn mantelmeeuw rit 284053,Traumaheli naar Mantelmeeuw in Apeldoorn,2023-10-31,10:59:05
trauma,a1 13991 schorpioenstraat emmeloord 97753,Traumaheli naar Schorpioenstraat in Emmeloord,2023-10-31,10:50:38
trauma,a1 ambu 17992 withuysstraatgz 's-gravenhage sgravh bon 152610,Traumaheli naar Withuysstraat in Den Haag,2023-10-31,10:38:20
trauma,a1 ambu 08993 - aalten markerinkdijk rit 284007,Traumaheli naar Markerinkdijk in Aalten,2023-10-31,10:30:03
trauma,a1 ambu 06811 08993 - doetinchem rit 283985 2,Traumaheli naar Doetinchem,2023-10-31,10:15:52
trauma,a1 mmt dia 13991 de markt 2931 krimpen aan de lek 97705,Traumaheli,2023-10-31,09:03:35
trauma,a1 dia: ja ambu 17992 halsterseweg bergen op zoom bergzm bon 152540,Traumaheli,2023-10-31,08:57:33
trauma,a1 ambu 08993 udenstraat arnhem rit 283828,Traumaheli naar Udenstraat in Arnhem,2023-10-31,08:10:25
trauma,a1 ambu 08993 - waalwijk grotestraat 403,Geen beschrijving beschikbaar,2023-10-31,04:57:29
trauma,a1 ambu 08993 - waalwijk rit 283747,Traumaheli naar Waalwijk,2023-10-31,04:57:08
trauma,a1 mmt 13991 13116 verbindingsdam amsterdam 97676 97677,Traumaheli naar Verbindingsdam in Amsterdam,2023-10-31,03:52:20
trauma,a1 mmt dia 13991 de bijlen alphen aan den rijn 97666 // regio 16,Traumaheli,2023-10-31,03:05:52
trauma,a1 ambu 17902 hillevlietkl rotterdam rottdm bon 152384,Traumaheli naar Hillevliet in Rotterdam,2023-10-30,22:13:50
trauma,a0 ambu 17902 nectarinestraatlz 's-gravenhage sgravh bon 152374,Traumaheli naar Nectarinestraat in Den Haag,2023-10-30,21:45:52
trauma,a1 dia: ja ambu 17992 heiweglc oud-alblas oudalb bon 152353,Traumaheli naar Heiweg in Oud-Alblas,2023-10-30,20:54:59
trauma,a1 ambu 08993 - gedempte oude gracht haarlem rit 283366,Traumaheli naar Gedempte Oude Gracht in Haarlem,2023-10-30,20:16:05
trauma,a1 dia: ja ambu 17902 kleijnstraatvv rotterdam rottdm bon 152313,Traumaheli naar Kleijnstraat in Rotterdam,2023-10-30,19:05:40
trauma,a1 13991 mgr.poelsstraat alkmaar 97575 / regio 10,Traumaheli naar Mgr.Poelsstraat in Alkmaar,2023-10-30,19:00:01
trauma,a1 dia: ja ambu 17902 hannemanplantsoenle 's-gravenhage sgravh bon 152305,Traumaheli naar Hannemanplantsoen in Den Haag,2023-10-30,18:45:20
trauma,a1 dia: ja ambu 17992 hannemanplantsoenle 's-gravenhage sgravh bon 152305,Traumaheli naar Hannemanplantsoen in Den Haag,2023-10-30,18:43:58
